news,price,date
2022微信公开课PRO开讲：视频号上线两周年 推出“创作者激励计划”,51.86,2013-1-25
微信小程序日活突破4.5亿 视频号或探索打赏和付费直播,51.98,2013-1-28
腾讯入场！微信支持数字人民币支付,51.86,2013-1-29
100亿砸向腾讯！3万亿巨头最新年报曝光,52.56,2013-1-30
支付分推出音视频会员“先看后付”、视频号有望开发付费内容……张小龙没来 但微信公开课透露这些动作,52.68,2013-1-31
2022微信公开课来了！视频号、微信支付、小程序齐亮相 带来这些信息,52.13,2013-2-1
腾讯正式接入！微信支持数字人民币支付,52.17,2013-2-4
数字人民币试点版App来了！腾讯提供数字人民币服务、美团试点“外卖”支付场景,51.51,2013-2-5
2022微信公开课：主题是“入微” 没有新产品发布,51.82,2013-2-6
视频号、小程序、搜一搜…2022微信公开课透露了哪些变化？,52.79,2013-2-7
接连大手笔减持 腾讯为何此时“卖卖卖”？,52.52,2013-2-8
注意！微信支付发布最新公告,52.75,2013-2-14
腾讯控股：回购46万股公司股份 耗资2.04亿港元,53.26,2013-2-15
在线支付渗透率已接近“天花板” 微信支付如何破局？,53.37,2013-2-18
互联网股票见底了吗？腾讯大举回购 小米出手密集 京东、阿里加码 机构这么看！,53.37,2013-2-19
“抄底指标”出现？腾讯开年回购4亿港元,53.69,2013-2-20
点外卖几秒就搞定！布局数字人民币 美团、腾讯、小米火速加入 全面应用不远了？,52.75,2013-2-21
微信入局数字人民币 确定性大趋势下看好板块受益,51.32,2013-2-22
腾讯加速布局元宇宙 拟收购小米旗下游戏商黑鲨科技,51.39,2013-2-25
腾讯被曝拟收购游戏手机商黑鲨科技 或成元宇宙生态硬件入口,51.82,2013-2-26
腾讯控股获南向资金连续4天净买入,51.28,2013-2-27
腾讯控股：今日回购45万股股份 耗资约2.04亿港元,52.05,2013-2-28
腾讯控股：今日回购45万股股份 耗资约2.04亿港元,52.13,2013-3-1
腾讯拟收购游戏手机厂商黑鲨 正式进军元宇宙,53.22,2013-3-4
腾讯要收购手机公司？绯闻对象有啥嫁妆：元宇宙入口,53.45,2013-3-5
收购黑鲨科技？腾讯意在元宇宙,54.11,2013-3-6
腾讯控股4天获南向资金净买入,54.27,2013-3-7
减持京东和Sea后 腾讯继续投资新兴产业 或入股黑鲨开发元宇宙硬件,55.2,2013-3-8
不做手机的腾讯想收购黑鲨科技 能否打破互联网公司做不好手机的魔咒？,54.66,2013-3-11
腾讯拟收购黑鲨科技 硬件梦在能否在全真互联网圆？,54.03,2013-3-12
企业微信4.0发布：与视频号连接 与腾讯文档、腾讯会议互联,54.0,2013-3-13
企业微信披露最新数据：活跃用户超1.8亿 服务微信活跃用户5亿,53.53,2013-3-14
微信首场“碳中和”公开课广州开讲,53.22,2013-3-15
腾讯控股：今日回购44万股股份 耗资约2.02亿港元,51.08,2013-3-18
腾讯控股获南向资金连续5天净买入,50.31,2013-3-19
腾讯控股回购44万股股份 价格区间为454.2港元-461.8港元 耗资约2.02亿港元,51.01,2013-3-20
腾讯花2亿港元回购44万股,48.99,2013-3-21
腾讯会议用户参会超40亿次 视频会议市场强势发力,47.63,2013-3-22
企业微信举行2022新品发布会 打通视频号上线微信客服,46.74,2013-3-25
刷屏！马化腾：腾讯只是一家普通公司 随时都可以被替换,48.21,2013-3-26
互联网巨头创投业务“大刹车”？大数据告诉你实情是这样的 投资方向实打实已生变！,48.64,2013-3-27
腾讯投资智慧能源创新公司深智控,47.9,2013-3-28
腾讯投资智慧能源创新服务商深度智控,47.12,2013-4-2
腾讯企业微信副总裁李致峰：企业的数字化转型不止于公司内部 要接入整个社会的价值网络,47.12,2013-4-3
腾讯控股获南向资金连续6天净买入,46.04,2013-4-5
腾讯今年已回购184万股 涉资逾10亿港元,46.81,2013-4-8
腾讯“一门三杰”合体 企业微信“连接力”再进化,48.06,2013-4-9
“抄底指标”应验？腾讯市值5天增逾4800亿港元！恒生科技指数单日涨近5%,48.41,2013-4-10
腾讯是一家“普通公司”吗？,48.6,2013-4-11
开源证券首次覆盖腾讯控股买入评级,48.52,2013-4-12
紫光展锐携手腾讯QQ实现RTOS端应用部署,47.75,2013-4-15
腾讯控股：今日回购35.14万股股份 耗资约1.67亿港元,47.47,2013-4-16
腾讯玩偶外观设计专利获授权,48.52,2013-4-17
腾讯控股：今日回购43万股股份 耗资约2.01亿港元,47.98,2013-4-18
腾讯控股今日回购43万股股份 耗资约2.01亿港元,49.1,2013-4-19
腾讯控股今日回购43万股股份 耗资2.01亿港元,49.49,2013-4-22
腾讯元宇宙再落子  收购黑鲨“已到最后阶段”？,48.83,2013-4-23
60秒语音不必从头听到尾 新版本微信语音终于可以暂停了,49.38,2013-4-24
重磅更新！微信60秒长语音不用再从头听了 网友：删除好友提醒、朋友圈要发动态图,49.61,2013-4-25
微信上线语音消息“暂停”功能 为“行政指导”后首次产品更新,50.27,2013-4-26
微信新功能来了！涉及视频号、语音消息等 网友：还不够,50.85,2013-4-29
腾讯游戏发布寒假限玩日历：假期未成年人打游戏时间合计不超14个小时,51.67,2013-4-30
腾讯游戏公布2022年寒假未成年人限玩时间 未成年人最多玩14小时游戏,53.06,2013-5-2
腾讯发寒假未成年网游限玩通知：仅周五六日和春节每天1小时,52.6,2013-5-3
寒假来了 腾讯公布重要安排！,53.34,2013-5-6
放大招！腾讯游戏发布未成年人寒假限玩日历 最多可玩14小时,53.41,2013-5-7
微信新功能：支持批量删除好友 60秒语音不用从头听,53.3,2013-5-8
中金公司维持腾讯控股中性评级 目标价527港元,53.14,2013-5-9
腾讯游戏发布未成年人寒假限玩日历 最多可玩14小时,53.72,2013-5-10
腾讯游戏寒假限玩 未成年人最多玩14小时 网友：哈哈哈哈我要转给我弟,52.17,2013-5-13
中交集团与腾讯联合推出电子工卡 覆盖12万农民工,52.37,2013-5-14
腾讯：骄子微卡覆盖中交集团超过320个标段项目,53.26,2013-5-15
东兴证券维持腾讯控股强烈推荐评级,56.71,2013-5-16
腾讯投资企云方 后者专注于企业经营计划与分析,60.05,2013-5-20
2021胡润中国500强发布：腾讯价值跌去1万亿仍居第一 恒大落榜,59.0,2013-5-21
广发证券维持腾讯控股买入评级 目标价607港元,58.81,2013-5-22
国海证券维持腾讯控股买入评级 目标价620港元,56.83,2013-5-23
腾讯控股今日回购45万股股份 耗资2.04亿港元,58.11,2013-5-24
网传腾讯准备27亿收购小米集团旗下黑鲨科技 业内人士：尚处于洽谈当中,58.3,2013-5-27
招银国际维持腾讯控股买入评级 目标价590港元,59.04,2013-5-28
中信证券维持腾讯控股买入评级 目标价554港元,58.93,2013-5-29
游戏人均支出344元 氪金王腾讯、网易现吃老本隐忧,59.74,2013-5-30
腾讯：与亚洲奥林匹克理事会达成战略合作,59.74,2013-5-31
腾讯控股：今日回购44万股股份 耗资约2.045亿港元,58.85,2013-6-3
腾讯控股：今日耗资约2.04亿港元回购44万股,58.89,2013-6-4
亚奥理事会与腾讯达成战略合作 共同打造电子体育专项赛事,58.3,2013-6-5
微信通过首批适老化及无障碍水平评测,58.27,2013-6-6
“公募一哥”张坤四季报：加仓腾讯控股、海康威视、伊利股份 高端白酒股成减仓重点,58.19,2013-6-7
腾讯投资更号三 后者经营范围含数字动漫制作,59.24,2013-6-10
砍仓白酒！增持腾讯！中概互联迎来好消息 还有多名百亿基金经理调仓曝光,59.16,2013-6-11
公募一哥张坤风格转变？四季度减持多家酒企 这只股票成旗下多只基金NO.1,57.8,2013-6-13
腾讯给2.29万员工发股票 人均价值16.6万港元,58.38,2013-6-14
腾讯控股：向不少于2.28万员工授予合共800.48万股奖励股份,58.42,2013-6-17
腾讯控股：拟向不少于2.28万名员工授予超800万股奖励股份,58.34,2013-6-18
别人家的“年终奖”！腾讯给22800名员工发800万股 平均每人16.6万港元,58.15,2013-6-19
