"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-24","341.80","345.00","350.80","338.00","17.14M","-2.12%"
"2023-4-21","349.20","353.20","355.60","346.00","16.52M","-2.18%"
"2023-4-20","357.00","357.20","361.60","355.60","10.53M","-0.06%"
"2023-4-19","357.20","363.00","363.00","355.00","16.28M","-2.24%"
"2023-4-18","365.40","371.00","371.00","361.00","13.69M","-1.51%"
"2023-4-17","371.00","364.60","372.00","360.40","15.71M","1.53%"
"2023-4-14","365.40","366.40","368.20","359.00","12.74M","0.61%"
"2023-4-13","363.20","350.00","364.00","347.40","24.96M","1.68%"
"2023-4-12","357.20","371.00","371.60","354.20","40.47M","-5.15%"
"2023-4-11","376.60","389.00","390.00","371.40","21.93M","-2.28%"
"2023-4-6","385.40","384.00","387.60","380.60","14.95M","0.10%"
"2023-4-4","385.00","383.20","388.60","382.20","14.25M","-0.82%"
"2023-4-3","388.20","389.00","391.00","385.00","18.77M","0.62%"
"2023-3-31","385.80","390.00","394.00","384.00","25.96M","0.21%"
"2023-3-30","385.00","389.80","389.80","380.20","25.24M","0.05%"
"2023-3-29","384.80","397.00","397.60","382.00","36.10M","1.75%"
"2023-3-28","378.20","366.80","381.00","366.80","31.34M","4.24%"
"2023-3-27","362.80","374.60","378.00","362.60","25.80M","-3.72%"
"2023-3-24","376.80","380.00","387.40","374.80","33.22M","0.32%"
"2023-3-23","375.60","353.60","375.80","352.40","46.85M","8.18%"
"2023-3-22","347.20","347.00","353.60","346.20","19.65M","1.05%"
"2023-3-21","343.60","334.80","347.00","330.40","21.28M","2.63%"
"2023-3-20","334.80","337.00","339.40","331.00","20.44M","-1.36%"
"2023-3-17","339.40","340.80","346.60","339.40","29.03M","1.01%"
"2023-3-16","336.00","340.40","345.00","333.80","23.73M","-2.50%"
"2023-3-15","344.60","350.40","353.80","344.20","16.57M","0.88%"
"2023-3-14","341.60","341.40","352.60","339.00","21.32M","-0.93%"
"2023-3-13","344.80","340.40","351.60","337.40","27.13M","3.98%"
"2023-3-10","331.60","333.00","338.20","330.60","37.60M","-2.53%"
"2023-3-9","340.20","348.00","349.20","340.20","17.27M","-2.69%"
"2023-3-8","349.60","350.00","351.60","345.00","21.21M","-2.07%"
"2023-3-7","357.00","362.80","368.80","355.00","17.04M","-1.65%"
"2023-3-6","363.00","364.00","368.60","360.60","12.63M","-1.25%"
